Recipe,Ingredient,Quantity,Serving,Recipe Weight,Portion per Serving,Norm Quantity,Valid Norm,New Quantity
naan,salt,8.2,4.0,615.36,153.84,0.013325533021320852,1.0,2.05
naan,sugar,12.57,4.0,615.36,153.84,0.020427067082683308,1.0,3.142
naan,sesame seed,15.97,4.0,615.36,153.84,0.02595228809152366,1.0,3.992
spicy chicken wings,chili powder,15.97,6.0,1270.97,211.82833333333335,0.012565206102425707,1.0,2.662
spicy chicken wings,paprika,13.61,6.0,1270.97,211.82833333333335,0.010708356609518714,1.0,2.268
spicy chicken wings,garlic powder,9.47,6.0,1270.97,211.82833333333335,0.007451001990605601,1.0,1.578
spicy chicken wings,salt,5.46,6.0,1270.97,211.82833333333335,0.004295931453928889,1.0,0.91
spicy chicken wings,cayenne pepper,0.89,6.0,1270.97,211.82833333333335,0.0007002525630030607,1.0,0.148
spicy chicken wings,ground cumin,1.03,6.0,1270.97,211.82833333333335,0.0008104046515653399,1.0,0.172
spicy chicken wings,ground clove,0.54,6.0,1270.97,211.82833333333335,0.00042487234159736267,1.0,0.09
spicy chicken wings,chicken wing,1224.0,6.0,1270.97,211.82833333333335,0.9630439742873553,1.0,204.0
chicken triangles,chicken breast,378.0,12.0,1270.28,105.85666666666667,0.29757218880876657,1.0,31.5
chicken triangles,cream cheese,340.19,12.0,1270.28,105.85666666666667,0.2678070976477627,1.0,28.349
chicken triangles,green onion,18.19,12.0,1270.28,105.85666666666667,0.01431967755140599,1.0,1.516
chicken triangles,garlic clove,2.0,12.0,1270.28,105.85666666666667,0.0015744560254432095,1.0,0.167
chicken triangles,ground cumin,2.07,12.0,1270.28,105.85666666666667,0.0016295619863337216,1.0,0.172
chicken triangles,chili powder,2.66,12.0,1270.28,105.85666666666667,0.0020940265138394685,1.0,0.222
chicken triangles,monterey jack cheese,166.79,12.0,1270.28,105.85666666666667,0.13130176024183643,1.0,13.899
chicken triangles,salt,0.28,12.0,1270.28,105.85666666666667,0.00022042384356204934,1.0,0.023
chicken triangles,pepper,0.1,12.0,1270.28,105.85666666666667,7.872280127216048e-05,1.0,0.008
chicken triangles,pita bread,360.0,12.0,1270.28,105.85666666666667,0.28340208457977767,1.0,30.0
chicken korma,chicken,1360.77,6.0,2735.71,455.95166666666665,0.4974101787104627,1.0,226.795
chicken korma,salt,15.04,6.0,2735.71,455.95166666666665,0.005497658743068527,1.0,2.507
chicken korma,yogurt,123.02,6.0,2735.71,455.95166666666665,0.044968216660391636,1.0,20.503
chicken korma,water,118.29,6.0,2735.71,455.95166666666665,0.04323923222856224,1.0,19.715
chicken korma,onion flakes,56.78,6.0,2735.71,455.95166666666665,0.02075512389836642,1.0,9.463
chicken korma,butter,107.64,6.0,2735.71,455.95166666666665,0.03934627573829098,1.0,17.94
chicken korma,ground clove,4.33,6.0,2735.71,455.95166666666665,0.001582770103556298,1.0,0.722
chicken korma,pepper,4.14,6.0,2735.71,455.95166666666665,0.0015133182976265758,1.0,0.69
chicken korma,cardamom,1.97,6.0,2735.71,455.95166666666665,0.0007201055667450132,1.0,0.328
chicken korma,cinnamon stick,1.3,6.0,2735.71,455.95166666666665,0.00047519656688757214,1.0,0.217
chicken korma,bay leaf,0.4,6.0,2735.71,455.95166666666665,0.00014621432827309914,1.0,0.067
chicken korma,ground turmeric,3.05,6.0,2735.71,455.95166666666665,0.0011148842530823808,1.0,0.508
chicken korma,garlic powder,2.36,6.0,2735.71,455.95166666666665,0.0008626645368112847,1.0,0.393
chicken korma,coriander powder,6.06,6.0,2735.71,455.95166666666665,0.0022151470733374513,1.0,1.01
chicken korma,ground ginger root,1.29,6.0,2735.71,455.95166666666665,0.0004715412086807447,1.0,0.215
chicken korma,ground cumin,2.07,6.0,2735.71,455.95166666666665,0.0007566591488132879,1.0,0.345
chicken korma,cayenne pepper,0.89,6.0,2735.71,455.95166666666665,0.00032532688040764557,1.0,0.148
chicken korma,tomato puree,125.39,6.0,2735.71,455.95166666666665,0.04583453655540975,1.0,20.898
chicken korma,water,236.59,6.0,2735.71,455.95166666666665,0.0864821198153313,1.0,39.432
chicken korma,cauliflower,564.33,6.0,2735.71,455.95166666666665,0.2062828296858951,1.0,94.055
chicken biryani,butter,13.46,4.0,1756.6200000000001,439.15500000000003,0.007662442645535176,1.0,3.365
chicken biryani,onion,144.32,4.0,1756.6200000000001,439.15500000000003,0.08215778028258815,1.0,36.08
chicken biryani,fresh ginger root,6.8,4.0,1756.6200000000001,439.15500000000003,0.0038710705787250513,1.0,1.7
chicken biryani,garlic clove,3.0,4.0,1756.6200000000001,439.15500000000003,0.0017078252553198755,1.0,0.75
chicken biryani,ground cumin,2.07,4.0,1756.6200000000001,439.15500000000003,0.001178399426170714,1.0,0.518
chicken biryani,ground allspice,0.98,4.0,1756.6200000000001,439.15500000000003,0.0005578895834044927,1.0,0.245
chicken biryani,saffron,0.2,4.0,1756.6200000000001,439.15500000000003,0.00011385501702132504,1.0,0.05
chicken biryani,ground cardamom,0.5,4.0,1756.6200000000001,439.15500000000003,0.00028463754255331257,1.0,0.125
chicken biryani,chopped tomato,125.39,4.0,1756.6200000000001,439.15500000000003,0.07138140292151973,1.0,31.348
chicken biryani,raisin,78.07,4.0,1756.6200000000001,439.15500000000003,0.044443305894274227,1.0,19.518
chicken biryani,serrano pepper,6.1,4.0,1756.6200000000001,439.15500000000003,0.0034725780191504135,1.0,1.525
chicken biryani,chicken thighs,680.38,4.0,1756.6200000000001,439.15500000000003,0.38732338240484565,1.0,170.095
chicken biryani,lime juice,30.76,4.0,1756.6200000000001,439.15500000000003,0.01751090161787979,1.0,7.69
chicken biryani,salt,2.73,4.0,1756.6200000000001,439.15500000000003,0.0015541209823410867,1.0,0.682
chicken biryani,basmati rice,184.54,4.0,1756.6200000000001,439.15500000000003,0.10505402420557661,1.0,46.135
chicken biryani,water,473.18,4.0,1756.6200000000001,439.15500000000003,0.2693695847707529,1.0,118.295
chicken biryani,fresh cilantro,4.14,4.0,1756.6200000000001,439.15500000000003,0.002356798852341428,1.0,1.035
onion kulcha,dry yeast,11.98,4.0,1473.59,368.3975,0.008129805441133559,1.0000000000000002,2.995
onion kulcha,sugar,4.18,4.0,1473.59,368.3975,0.002836609911847936,1.0000000000000002,1.045
onion kulcha,warm water,112.38,4.0,1473.59,368.3975,0.07626273251039978,1.0000000000000002,28.095
onion kulcha,egg,50.0,4.0,1473.59,368.3975,0.033930740572343736,1.0000000000000002,12.5
onion kulcha,low-fat plain yogurt,113.56,4.0,1473.59,368.3975,0.07706349798790708,1.0000000000000002,28.39
onion kulcha,milk,123.02,4.0,1473.59,368.3975,0.08348319410419452,1.0000000000000002,30.755
onion kulcha,all purpose flour,501.57,4.0,1473.59,368.3975,0.34037283097740895,1.0000000000000002,125.393
onion kulcha,unsalted butter,56.2,4.0,1473.59,368.3975,0.038138152403314356,1.0000000000000002,14.05
onion kulcha,salt,6.92,4.0,1473.59,368.3975,0.004696014495212373,1.0000000000000002,1.73
onion kulcha,all purpose flour,125.39,4.0,1473.59,368.3975,0.08509151120732361,1.0000000000000002,31.347
onion kulcha,water,118.29,4.0,1473.59,368.3975,0.08027334604605081,1.0000000000000002,29.572
onion kulcha,butter,26.92,4.0,1473.59,368.3975,0.018268310724149868,1.0000000000000002,6.73
onion kulcha,chat masala,2.56,4.0,1473.59,368.3975,0.0017372539173039993,1.0000000000000002,0.64
onion kulcha,onion,216.48,4.0,1473.59,368.3975,0.14690653438201942,1.0000000000000002,54.12
onion kulcha,cilantro,4.14,4.0,1473.59,368.3975,0.002809465319390061,1.0000000000000002,1.035
chicken tikka masala,chicken breast,453.59,4.0,1087.21,271.8025,0.41720550767561,0.9999999999999999,113.398
chicken tikka masala,mixed herbs,12.13,4.0,1087.21,271.8025,0.011156998188022554,0.9999999999999999,3.032
chicken tikka masala,cayenne pepper powder,2.71,4.0,1087.21,271.8025,0.0024926187213141896,0.9999999999999999,0.678
chicken tikka masala,plain yogurt,226.79,4.0,1087.21,271.8025,0.20859815491027492,0.9999999999999999,56.698
chicken tikka masala,lemon juice,15.09,4.0,1087.21,271.8025,0.013879563285841742,0.9999999999999999,3.772
chicken tikka masala,olive oil,13.46,4.0,1087.21,271.8025,0.012380312911029149,0.9999999999999999,3.365
chicken tikka masala,butter,113.39,4.0,1087.21,271.8025,0.10429447852760736,0.9999999999999999,28.348
chicken tikka masala,ketchup,31.95,4.0,1087.21,271.8025,0.029387146917338874,0.9999999999999999,7.988
chicken tikka masala,honey,21.15,4.0,1087.21,271.8025,0.019453463452322916,0.9999999999999999,5.288
chicken tikka masala,onion,36.08,4.0,1087.21,271.8025,0.033185861057201456,0.9999999999999999,9.02
chicken tikka masala,tomato,41.4,4.0,1087.21,271.8025,0.03807911994922784,0.9999999999999999,10.35
chicken tikka masala,cream,119.47,4.0,1087.21,271.8025,0.10988677440420894,0.9999999999999999,29.868
gulab jamun,sugar,301.65,20.0,1307.02,65.351,0.23079218374623187,1.0,15.082
gulab jamun,water,236.59,20.0,1307.02,65.351,0.18101482762314272,1.0,11.83
gulab jamun,condensed milk,226.79,20.0,1307.02,65.351,0.17351685513611115,1.0,11.34
gulab jamun,cream of wheat,43.78,20.0,1307.02,65.351,0.033496044436963475,1.0,2.189
gulab jamun,baking powder,18.33,20.0,1307.02,65.351,0.014024268947682514,1.0,0.916
gulab jamun,flour,376.18,20.0,1307.02,65.351,0.28781502960934036,1.0,18.809
gulab jamun,ghee,25.73,20.0,1307.02,65.351,0.01968600327462472,1.0,1.286
gulab jamun,egg,76.0,20.0,1307.02,65.351,0.05814754173616318,1.0,3.8
gulab jamun,cardamom,1.97,20.0,1307.02,65.351,0.0015072454897400193,1.0,0.098
malpua,sugar,402.2,6.0,1210.29,201.715,0.33231704798023615,1.0,67.033
malpua,water,236.59,6.0,1210.29,201.715,0.19548207454411753,1.0,39.432
malpua,milk,369.08,6.0,1210.29,201.715,0.3049517057895215,1.0,61.513
malpua,flour,125.39,6.0,1210.29,201.715,0.103603268638095,1.0,20.898
malpua,dry milk,66.25,6.0,1210.29,201.715,0.05473894686397475,1.0,11.042
malpua,anise seed,2.16,6.0,1210.29,201.715,0.0017846962298292146,1.0,0.36
malpua,almonds,8.62,6.0,1210.29,201.715,0.0071222599542258465,1.0,1.437
vegetable samosa,all purpose flour,226.79,5.0,2304.02,460.804,0.09843230527512782,0.9999999999999999,45.358
vegetable samosa,cooking oil,54.43,5.0,2304.02,460.804,0.02362392687563476,0.9999999999999999,10.886
vegetable samosa,salt,2.73,5.0,2304.02,460.804,0.001184885547868508,0.9999999999999999,0.546
vegetable samosa,water,288.4,5.0,2304.02,460.804,0.12517252454405778,0.9999999999999999,57.68
vegetable samosa,potato,1476.0,5.0,2304.02,460.804,0.6406194390673692,0.9999999999999999,295.2
vegetable samosa,frozen peas,141.74,5.0,2304.02,460.804,0.061518563206916614,0.9999999999999999,28.348
vegetable samosa,oil,40.82,5.0,2304.02,460.804,0.01771686009670055,0.9999999999999999,8.164
vegetable samosa,cumin,2.07,5.0,2304.02,460.804,0.0008984297011310665,0.9999999999999999,0.414
vegetable samosa,asafoetida powder,0.78,5.0,2304.02,460.804,0.0003385387279624309,0.9999999999999999,0.156
vegetable samosa,ginger root,12.0,5.0,2304.02,460.804,0.0052082881224989365,0.9999999999999999,2.4
vegetable samosa,green chilies,8.0,5.0,2304.02,460.804,0.0034721920816659577,0.9999999999999999,1.6
vegetable samosa,curry powder,4.14,5.0,2304.02,460.804,0.001796859402262133,0.9999999999999999,0.828
vegetable samosa,coriander powder,2.02,5.0,2304.02,460.804,0.0008767285006206543,0.9999999999999999,0.404
vegetable samosa,chili powder,1.33,5.0,2304.02,460.804,0.0005772519335769655,0.9999999999999999,0.266
vegetable samosa,lemon juice,15.09,5.0,2304.02,460.804,0.006549422314042413,0.9999999999999999,3.018
vegetable samosa,cumin seed,2.07,5.0,2304.02,460.804,0.0008984297011310665,0.9999999999999999,0.414
vegetable samosa,garam masala,2.41,5.0,2304.02,460.804,0.0010459978646018698,0.9999999999999999,0.482
vegetable samosa,salt,8.2,5.0,2304.02,460.804,0.0035589968837076063,0.9999999999999999,1.64
vegetable samosa,cilantro,15.0,5.0,2304.02,460.804,0.006510360153123671,0.9999999999999999,3.0
chaat papri,refined flour,100.0,4.0,26253.16,6563.29,0.003809065270618851,1.0,25.0
chaat papri,semolina,10.0,4.0,26253.16,6563.29,0.0003809065270618851,1.0,2.5
chaat papri,salt,6.92,4.0,26253.16,6563.29,0.0002635873167268245,1.0,1.73
chaat papri,baking powder,0.77,4.0,26253.16,6563.29,2.9329802583765157e-05,1.0,0.192
chaat papri,oil,13.61,4.0,26253.16,6563.29,0.0005184137833312256,1.0,3.402
chaat papri,potato,149.05,4.0,26253.16,6563.29,0.0056774117858573985,1.0,37.262
chaat papri,chickpeas,260.25,4.0,26253.16,6563.29,0.00991309236678556,1.0,65.062
chaat papri,tamarind chutney,150.0,4.0,26253.16,6563.29,0.005713597905928277,1.0,37.5
chaat papri,chutney,60.0,4.0,26253.16,6563.29,0.0022854391623713106,1.0,15.0
chaat papri,low-fat yogurt,25500.0,4.0,26253.16,6563.29,0.9713116440078071,1.0,6375.0
chaat papri,chat masala,2.56,4.0,26253.16,6563.29,9.751207092784259e-05,1.0,0.64
baingan bartha,eggplant,220.0,4.0,811.05,202.7625,0.2712533136058196,1.0,55.0
baingan bartha,onion,70.0,4.0,811.05,202.7625,0.08630787251094262,1.0,17.5
baingan bartha,onion,160.0,4.0,811.05,202.7625,0.19727513716786882,1.0,40.0
baingan bartha,tomato,123.0,4.0,811.05,202.7625,0.15165526169779917,1.0,30.75
baingan bartha,peas,144.32,4.0,811.05,202.7625,0.17794217372541768,1.0,36.08
baingan bartha,turmeric powder,1.01,4.0,811.05,202.7625,0.001245299303372172,1.0,0.252
baingan bartha,chili powder,2.66,4.0,811.05,202.7625,0.003279699155415819,1.0,0.665
baingan bartha,green chilies,8.0,4.0,811.05,202.7625,0.009863756858393441,1.0,2.0
baingan bartha,garam masala powder,1.3,4.0,811.05,202.7625,0.0016028604894889342,1.0,0.325
baingan bartha,coriander powder,1.01,4.0,811.05,202.7625,0.001245299303372172,1.0,0.252
baingan bartha,cumin powder,1.01,4.0,811.05,202.7625,0.001245299303372172,1.0,0.252
baingan bartha,ginger garlic paste,15.97,4.0,811.05,202.7625,0.019690524628567907,1.0,3.992
baingan bartha,salt,6.92,4.0,811.05,202.7625,0.008532149682510327,1.0,1.73
baingan bartha,ghee,8.96,4.0,811.05,202.7625,0.011047407681400655,1.0,2.24
baingan bartha,cream,44.81,4.0,811.05,202.7625,0.05524936810307626,1.0,11.202
baingan bartha,coriander leaves,2.08,4.0,811.05,202.7625,0.002564576783182295,1.0,0.52
malai kofta curry,raisin,39.03,4.0,1871.3600000000001,467.84000000000003,0.020856489398084814,1.0,9.758
malai kofta curry,coriander powder,2.02,4.0,1871.3600000000001,467.84000000000003,0.0010794288645690833,1.0,0.505
malai kofta curry,turmeric powder,2.02,4.0,1871.3600000000001,467.84000000000003,0.0010794288645690833,1.0,0.505
malai kofta curry,salt,6.92,4.0,1871.3600000000001,467.84000000000003,0.003697845417236662,1.0,1.73
malai kofta curry,tomato puree,125.39,4.0,1871.3600000000001,467.84000000000003,0.0670047452120383,1.0,31.347
malai kofta curry,red chili powder,2.8,4.0,1871.3600000000001,467.84000000000003,0.001496238030095759,1.0,0.7
malai kofta curry,mawa,153.78,4.0,1871.3600000000001,467.84000000000003,0.08217553009575923,1.0,38.445
malai kofta curry,fresh cream,113.56,4.0,1871.3600000000001,467.84000000000003,0.06068313953488372,1.0,28.39
malai kofta curry,garam masala powder,2.6,4.0,1871.3600000000001,467.84000000000003,0.0013893638850889193,1.0,0.65
malai kofta curry,gravy,14.5,4.0,1871.3600000000001,467.84000000000003,0.007748375512995896,1.0,3.625
malai kofta curry,onion,330.0,4.0,1871.3600000000001,467.84000000000003,0.1763423392612859,1.0,82.5
malai kofta curry,oil,40.82,4.0,1871.3600000000001,467.84000000000003,0.021813012995896032,1.0,10.205
malai kofta curry,ginger root paste,19.97,4.0,1871.3600000000001,467.84000000000003,0.010671383378932968,1.0,4.992
malai kofta curry,garlic paste,14.05,4.0,1871.3600000000001,467.84000000000003,0.007507908686730506,1.0,3.512
malai kofta curry,green chilies,8.0,4.0,1871.3600000000001,467.84000000000003,0.004274965800273598,1.0,2.0
malai kofta curry,potato,852.0,4.0,1871.3600000000001,467.84000000000003,0.45528385772913815,1.0,213.0
malai kofta curry,cottage cheese,100.0,4.0,1871.3600000000001,467.84000000000003,0.05343707250341997,1.0,25.0
malai kofta curry,green chilies,8.0,4.0,1871.3600000000001,467.84000000000003,0.004274965800273598,1.0,2.0
malai kofta curry,corn flour,28.98,4.0,1871.3600000000001,467.84000000000003,0.015486063611491107,1.0,7.245
malai kofta curry,salt,6.92,4.0,1871.3600000000001,467.84000000000003,0.003697845417236662,1.0,1.73
chicken saag,frozen spinach,453.59,4.0,1511.45,377.8625,0.3001025505309471,1.0,113.398
chicken saag,onion,70.0,4.0,1511.45,377.8625,0.046313143008369445,1.0,17.5
chicken saag,fresh ginger root,2.0,4.0,1511.45,377.8625,0.001323232657381984,1.0,0.5
chicken saag,garlic clove,2.0,4.0,1511.45,377.8625,0.001323232657381984,1.0,0.5
chicken saag,fresh green chile,4.0,4.0,1511.45,377.8625,0.002646465314763968,1.0,1.0
chicken saag,black peppercorns,1.0,4.0,1511.45,377.8625,0.000661616328690992,1.0,0.25
chicken saag,tomato,364.0,4.0,1511.45,377.8625,0.24082834364352113,1.0,91.0
chicken saag,curry powder,12.42,4.0,1511.45,377.8625,0.008217274802342122,1.0,3.105
chicken saag,cayenne pepper,1.77,4.0,1511.45,377.8625,0.001171060901783056,1.0,0.442
chicken saag,vegetable oil,27.21,4.0,1511.45,377.8625,0.018002580303681896,1.0,6.803
chicken saag,bay leaf,0.4,4.0,1511.45,377.8625,0.00026464653147639686,1.0,0.1
chicken saag,chicken,453.59,4.0,1511.45,377.8625,0.3001025505309471,1.0,113.398
chicken saag,cream,119.47,4.0,1511.45,377.8625,0.07904330278871283,1.0,29.868
rice,basmati rice,184.54,4.0,208175.97999999998,52043.994999999995,0.0008864615408559624,1.0,46.135
rice,chicken broth,88702.68,4.0,208175.97999999998,52043.994999999995,0.42609469161619895,1.0,22175.67
rice,lentil and vegetable soup,119064.0,4.0,208175.97999999998,52043.994999999995,0.5719391833774483,1.0,29766.0
rice,hot water,224.76,4.0,208175.97999999998,52043.994999999995,0.001079663465496836,1.0,56.19
tandoori roti,whole wheat flour,241.32,4.0,478.84,119.71,0.5039679224793251,1.0,60.33
tandoori roti,all purpose flour,31.34,4.0,478.84,119.71,0.06544983710634032,1.0,7.835
tandoori roti,baking soda,2.29,4.0,478.84,119.71,0.0047823907777128066,1.0,0.572
tandoori roti,ghee,25.73,4.0,478.84,119.71,0.05373402389107009,1.0,6.432
tandoori roti,yogurt,30.76,4.0,478.84,119.71,0.06423857656002005,1.0,7.69
tandoori roti,salt,6.92,4.0,478.84,119.71,0.014451591345752236,1.0,1.73
tandoori roti,warm water,140.48,4.0,478.84,119.71,0.2933756578397795,1.0,35.12
carrot halwa,carrot,1000.0,18.0,2976.49,165.36055555555555,0.3359661883628032,1.0,55.556
carrot halwa,milk,1560.0,18.0,2976.49,165.36055555555555,0.524107253845973,1.0,86.667
carrot halwa,sugar,400.0,18.0,2976.49,165.36055555555555,0.13438647534512127,1.0,22.222
carrot halwa,cardamom powder,2.0,18.0,2976.49,165.36055555555555,0.0006719323767256064,1.0,0.111
carrot halwa,saffron,1.5,18.0,2976.49,165.36055555555555,0.0005039492825442048,1.0,0.083
carrot halwa,food coloring,0.12,18.0,2976.49,165.36055555555555,4.031594260353638e-05,1.0,0.007
carrot halwa,ghee,12.87,18.0,2976.49,165.36055555555555,0.004323884844229277,1.0,0.715
kadhai paneer,panir,421.13,4.0,788.0,197.0,0.5344289340101522,1.0,105.282
kadhai paneer,green chilies,12.0,4.0,788.0,197.0,0.015228426395939087,1.0,3.0
kadhai paneer,onion,144.32,4.0,788.0,197.0,0.18314720812182742,1.0,36.08
kadhai paneer,garlic paste,4.67,4.0,788.0,197.0,0.005926395939086294,1.0,1.168
kadhai paneer,ginger root paste,6.64,4.0,788.0,197.0,0.008426395939086295,1.0,1.66
kadhai paneer,curds,113.56,4.0,788.0,197.0,0.14411167512690357,1.0,28.39
kadhai paneer,oil,54.41,4.0,788.0,197.0,0.0690482233502538,1.0,13.602
kadhai paneer,cumin seed,4.14,4.0,788.0,197.0,0.005253807106598984,1.0,1.035
kadhai paneer,bay leaf,0.4,4.0,788.0,197.0,0.0005076142131979696,1.0,0.1
kadhai paneer,turmeric,1.53,4.0,788.0,197.0,0.0019416243654822335,1.0,0.382
kadhai paneer,salt,16.42,4.0,788.0,197.0,0.02083756345177665,1.0,4.105
