Recipe,Ingredient,Quantity,Serving
chicken tikka masala,ketchup,31.95,4.0
chicken tikka masala,honey,21.15,4.0
chicken tikka masala,onion,36.08,4.0
chicken tikka masala,tomato,41.4,4.0
chicken tikka masala,cream,119.47,4.0
gulab jamun,sugar,301.65,20.0
gulab jamun,water,236.59,20.0
gulab jamun,condensed milk,226.79,20.0
gulab jamun,cream of wheat,43.78,20.0
gulab jamun,baking powder,18.33,20.0
gulab jamun,flour,376.18,20.0
gulab jamun,ghee,25.73,20.0
gulab jamun,egg,76.0,20.0
gulab jamun,cardamom,1.97,20.0
malpua,sugar,402.2,6.0
malpua,water,236.59,6.0
malpua,milk,369.08,6.0
malpua,flour,125.39,6.0
malpua,dry milk,66.25,6.0
malpua,anise seed,2.16,6.0
malpua,almonds,8.62,6.0
vegetable samosa,all purpose flour,226.79,5.0
vegetable samosa,cooking oil,54.43,5.0
vegetable samosa,salt,2.73,5.0
vegetable samosa,water,288.4,5.0
vegetable samosa,potato,1476.0,5.0
vegetable samosa,frozen peas,141.74,5.0
vegetable samosa,oil,40.82,5.0
vegetable samosa,cumin,2.07,5.0
vegetable samosa,asafoetida powder,0.78,5.0
vegetable samosa,ginger root,12.0,5.0
vegetable samosa,green chilies,8.0,5.0
vegetable samosa,curry powder,4.14,5.0
vegetable samosa,coriander powder,2.02,5.0
vegetable samosa,chili powder,1.33,5.0
vegetable samosa,lemon juice,15.09,5.0
vegetable samosa,cumin seed,2.07,5.0
vegetable samosa,garam masala,2.41,5.0
vegetable samosa,salt,8.2,5.0
vegetable samosa,cilantro,15.0,5.0
chaat papri,refined flour,100.0,4.0
chaat papri,semolina,10.0,4.0
chaat papri,salt,6.92,4.0
chaat papri,baking powder,0.77,4.0
chaat papri,oil,13.61,4.0
chaat papri,potato,149.05,4.0
chaat papri,chickpeas,260.25,4.0
chaat papri,tamarind chutney,150.0,4.0
chaat papri,chutney,60.0,4.0
chaat papri,low-fat yogurt,25500.0,4.0
chaat papri,chat masala,2.56,4.0
baingan bartha,eggplant,220.0,4.0
baingan bartha,onion,70.0,4.0
baingan bartha,onion,160.0,4.0
baingan bartha,tomato,123.0,4.0
baingan bartha,peas,144.32,4.0
baingan bartha,turmeric powder,1.01,4.0
baingan bartha,chili powder,2.66,4.0
baingan bartha,green chilies,8.0,4.0
baingan bartha,garam masala powder,1.3,4.0
baingan bartha,coriander powder,1.01,4.0
baingan bartha,cumin powder,1.01,4.0
baingan bartha,ginger garlic paste,15.97,4.0
baingan bartha,salt,6.92,4.0
baingan bartha,ghee,8.96,4.0
baingan bartha,cream,44.81,4.0
baingan bartha,coriander leaves,2.08,4.0
malai kofta curry,raisin,39.03,4.0
malai kofta curry,coriander powder,2.02,4.0
malai kofta curry,turmeric powder,2.02,4.0
malai kofta curry,salt,6.92,4.0
malai kofta curry,tomato puree,125.39,4.0
malai kofta curry,red chili powder,2.8,4.0
malai kofta curry,mawa,153.78,4.0
malai kofta curry,fresh cream,113.56,4.0
malai kofta curry,garam masala powder,2.6,4.0
malai kofta curry,gravy,14.5,4.0
malai kofta curry,onion,330.0,4.0
malai kofta curry,oil,40.82,4.0
malai kofta curry,ginger root paste,19.97,4.0
malai kofta curry,garlic paste,14.05,4.0
malai kofta curry,green chilies,8.0,4.0
malai kofta curry,potato,852.0,4.0
malai kofta curry,cottage cheese,100.0,4.0
malai kofta curry,green chilies,8.0,4.0
malai kofta curry,corn flour,28.98,4.0
malai kofta curry,salt,6.92,4.0
chicken saag,frozen spinach,453.59,4.0
chicken saag,onion,70.0,4.0
chicken saag,fresh ginger root,2.0,4.0
chicken saag,garlic clove,2.0,4.0
chicken saag,fresh green chile,4.0,4.0
chicken saag,black peppercorns,1.0,4.0
chicken saag,tomato,364.0,4.0
chicken saag,curry powder,12.42,4.0
chicken saag,cayenne pepper,1.77,4.0
chicken saag,vegetable oil,27.21,4.0
chicken saag,bay leaf,0.4,4.0
chicken saag,chicken,453.59,4.0
chicken saag,cream,119.47,4.0
rice,basmati rice,184.54,4.0
rice,chicken broth,88702.68,4.0
rice,lentil and vegetable soup,119064.0,4.0
rice,hot water,224.76,4.0
tandoori roti,whole wheat flour,241.32,4.0
tandoori roti,all purpose flour,31.34,4.0
tandoori roti,baking soda,2.29,4.0
tandoori roti,ghee,25.73,4.0
tandoori roti,yogurt,30.76,4.0
tandoori roti,salt,6.92,4.0
tandoori roti,warm water,140.48,4.0
carrot halwa,carrot,1000.0,18.0
carrot halwa,milk,1560.0,18.0
carrot halwa,sugar,400.0,18.0
carrot halwa,cardamom powder,2.0,18.0
carrot halwa,saffron,1.5,18.0
carrot halwa,food coloring,0.12,18.0
carrot halwa,ghee,12.87,18.0
kadhai paneer,panir,421.13,4.0
kadhai paneer,green chilies,12.0,4.0
kadhai paneer,onion,144.32,4.0
kadhai paneer,garlic paste,4.67,4.0
kadhai paneer,ginger root paste,6.64,4.0
kadhai paneer,curds,113.56,4.0
kadhai paneer,oil,54.41,4.0
kadhai paneer,cumin seed,4.14,4.0
kadhai paneer,bay leaf,0.4,4.0
kadhai paneer,turmeric,1.53,4.0
kadhai paneer,salt,16.42,4.0
kadhai paneer,garam masala,1.21,4.0
kadhai paneer,dry red pepper,1.35,4.0
kadhai paneer,coriander seed,5.18,4.0
kadhai paneer,coriander leaves,1.04,4.0
lamb karahi,boneless lamb,566.99,4.0
lamb karahi,oil,3.8,4.0
lamb karahi,ginger root paste,39.93,4.0
lamb karahi,tomato,455.0,4.0
lamb karahi,salt,10.99,4.0
lamb karahi,chili flakes,5.32,4.0
lamb karahi,boiling water,990.0,4.0
lamb karahi,fresh ginger root,20.41,4.0
lamb karahi,green chilies,30.17,4.0
lamb karahi,coriander leaves,3.11,4.0
aloo paratha,flour,250.79,6.0
aloo paratha,water,118.29,6.0
aloo paratha,salt,0.28,6.0
aloo paratha,oil,13.61,6.0
aloo paratha,potato,426.0,6.0
aloo paratha,salt,1.37,6.0
aloo paratha,mustard seed,1.06,6.0
aloo paratha,onion,70.0,6.0
aloo paratha,turmeric powder,2.02,6.0
aloo paratha,green chili pepper,8.0,6.0
aloo paratha,cilantro,2.07,6.0
aloo paratha,flour,31.34,6.0
aloo paratha,oil,27.21,6.0
rasmalai,whole milk,520.0,4.0
rasmalai,sugar,100.0,4.0
rasmalai,green cardamoms,0.6,4.0
rasmalai,pistachios,25.0,4.0
rasmalai,saffron,0.2,4.0
rasmalai,milk,15.6,4.0
rasmalai,milk,2080.0,4.0
rasmalai,lime juice,15.38,4.0
rasmalai,water,800.0,4.0
rasmalai,sugar,900.0,4.0
rasmalai,flour,20.0,4.0
rasmalai,baking powder,3.43,4.0
vegetable pakora,green chili,4.0,2.0
vegetable pakora,cilantro,1.04,2.0
vegetable pakora,potato,170.0,2.0
vegetable pakora,cauliflower,265.0,2.0
vegetable pakora,spinach leaves,28.39,2.0
vegetable pakora,onion,216.48,2.0
vegetable pakora,chickpea flour,92.27,2.0
vegetable pakora,oil,27.21,2.0
vegetable pakora,ground cumin,2.07,2.0
vegetable pakora,salt,8.2,2.0
vegetable pakora,water,118.29,2.0
hara bhara kebabs,channa dal,25.44,2.0
hara bhara kebabs,fresh ginger root,2.0,2.0
hara bhara kebabs,garlic clove,2.0,2.0
hara bhara kebabs,green chilies,8.0,2.0
hara bhara kebabs,spinach,15.38,2.0
hara bhara kebabs,green peas,36.08,2.0
hara bhara kebabs,low-fat panir,52.63,2.0
hara bhara kebabs,chat masala,1.28,2.0
hara bhara kebabs,garam masala powder,0.65,2.0
hara bhara kebabs,salt,3.46,2.0
hara bhara kebabs,bread crumb,20.41,2.0
hara bhara kebabs,olive oil,4.48,2.0
shahi paneer korma,paneer cheese,200.0,4.0
shahi paneer korma,cumin powder,2.02,4.0
shahi paneer korma,onion,110.0,4.0
shahi paneer korma,ginger root paste,6.64,4.0
shahi paneer korma,garlic paste,4.67,4.0
shahi paneer korma,garam masala powder,5.2,4.0
shahi paneer korma,turmeric powder,2.02,4.0
shahi paneer korma,coriander powder,2.02,4.0
shahi paneer korma,red chili powder,2.8,4.0
shahi paneer korma,white pepper powder,1.01,4.0
shahi paneer korma,tomato paste,226.79,4.0
shahi paneer korma,water,118.29,4.0
